Name,Minutes played,Appearances,Tackles,Interceptions,Clearances
Cole Palmer,1300,15,10,5,5
Kevin De Bruyne,561,9,5,3,2
James Maddison,965,15,16,8,14
Mateo Kovačić,880,11,22,5,6
Bruno Fernandes,1253,15,32,11,14
Dwight McNeil,1143,13,10,5,1
Savinho,715,12,15,1,2
Matheus Nunes,448,11,14,3,5
Youri Tielemans,1304,15,34,13,16
Alex Iwobi,1304,15,21,6,18
Martin Ødegaard,667,8,9,1,1
Antoine Semenyo,1234,14,23,4,8
Mikkel Damsgaard,1041,15,40,13,20
Moisés Caicedo,1327,15,47,23,17
Bernardo Silva,1198,15,14,10,10
Amad Diallo,802,13,22,6,9
Enzo Fernández,970,14,32,5,8
Jarrod Bowen,1328,15,22,9,13
Declan Rice,1105,13,21,10,16
Elliot Anderson,821,14,29,7,15
Ryan Gravenberch,1236,14,26,28,15
Noni Madueke,950,14,14,5,4
Callum Hudson-Odoi,1057,14,13,6,4
Thomas Partey,1200,14,39,15,23
Morgan Gibbs-White,851,11,15,7,8
Jadon Sancho,500,9,1,0,0
Lewis Cook,1177,14,35,23,22
Casemiro,763,12,35,7,25
Phil Foden,629,10,1,3,2
Facundo Buonanotte,886,12,26,7,6
Dominik Szoboszlai,950,14,11,6,3
Jack Grealish,473,11,8,1,2
Toby Collyer,45,1,4,0,1
Rodri,66,2,2,1,0
Justin Kluivert,906,15,13,6,11
Dejan Kulusevski,1141,15,16,8,8
Bruno Guimarães,1335,15,33,13,10
İlkay Gündoğan,963,14,11,8,12
Carlos Baleba,813,12,24,19,5
Tomáš Souček,986,14,16,9,33
Emile Smith Rowe,1081,15,20,7,7
Andreas Pereira,952,14,8,4,2
Ibrahim Sangaré,214,3,15,2,2
Alexis Mac Allister,988,14,39,4,10
Curtis Jones,571,11,13,1,4
Marcus Tavernier,1144,15,31,3,7
Mario Lemina,1242,15,47,26,47
Jacob Ramsey,636,10,7,5,2
Luis Sinisterra,204,8,5,0,5
Mohammed Kudus,831,10,13,1,1
Morgan Rogers,1228,15,14,3,8
Vitaly Janelt,1132,14,17,11,27
Adam Wharton,625,8,18,10,13
Harvey Barnes,704,15,8,4,4
Wilfred Ndidi,1222,15,48,9,43
Tyrick Mitchell,1303,15,39,7,28
Amadou Onana,709,10,25,16,15
Kaoru Mitoma,1277,15,20,7,2
James Milner,172,3,5,2,2
Christian Eriksen,515,9,9,4,5
Sam Morsy,1253,14,34,15,20
Harry Wilson,248,11,5,2,1
Christian Nørgaard,979,12,34,16,22
Matt O'Riley,219,5,5,4,3
Rayan Aït Nouri,1283,15,36,12,33
Kobbie Mainoo,744,9,17,15,2
Rodrigo Bentancur,546,10,19,16,5
Sander Berge,792,12,24,14,13
Idrissa Gueye,984,13,41,13,7
Dango Ouattara,519,12,15,5,13
Mikel Merino,405,8,14,8,6
Harry Winks,866,11,12,4,12
Yasin Ayari,746,12,29,8,8
Ryan Yates,1121,15,24,15,32
Marcus Rashford,983,15,7,4,7
Justin Devenny,205,5,9,0,3
Carlos Alcaraz,9,1,0,1,0
Tyler Adams,345,6,20,14,7
Ryan Christie,961,14,16,11,21
Sandro Tonali,652,13,15,12,10
Alex Scott,260,8,16,6,4
Georginio Rutter,868,14,16,7,7
Orel Mangala,586,11,11,13,5
Bilal El Khannouss,443,10,10,3,1
André,699,11,28,6,9
Philip Billing,68,5,8,1,1
Ross Barkley,446,12,9,5,4
Mateus Fernandes,1059,14,36,7,13
Samuel Edozie,64,2,3,0,0
Billy Gilmour,97,2,3,0,1
Lucas Paquetá,1037,15,25,8,18
Pape Matar Sarr,762,15,24,12,10
Nicolás Domínguez,703,13,27,15,14
Jefferson Lerma,667,11,10,13,14
Joelinton,1235,15,32,12,23
John McGinn,901,13,11,3,3
Saša Lukić,791,10,22,13,8
Matt Doherty,387,8,10,3,10
Yves Bissouma,749,12,26,10,16
Mathias Jensen,481,8,4,4,6
João Gomes,1273,15,49,11,10
Adam Lallana,316,8,6,4,5
Tom Cairney,182,10,5,3,1
Joe Aribo,821,14,15,9,11
Daichi Kamada,636,11,19,7,8
Anthony Elanga,808,15,8,3,13
Crysencio Summerville,601,14,10,0,6
Timo Werner,382,12,2,1,4
Will Hughes,803,13,32,6,5
James Garner,256,4,10,4,7
Jack Taylor,282,10,5,3,11
Joe Willock,453,12,12,2,3
Ramón Sosa,156,10,3,2,2
Jesper Lindstrøm,498,10,15,3,3
Lucas Bergvall,87,9,6,2,0
Manuel Ugarte,510,10,25,7,7
Jack Clarke,481,13,17,3,5
Julio Enciso,98,7,0,0,0
Conor Chaplin,489,13,9,2,1
Alejandro Garnacho,940,15,13,6,7
Sean Longstaff,675,14,27,5,4
Antony,45,3,2,1,0
Flynn Downes,1132,13,28,18,22
Yehor Yarmoliuk,325,11,11,6,9
Edson Álvarez,634,11,18,10,13
Andy Irving,55,5,4,0,2
Guido Rodríguez,843,14,26,10,18
Raheem Sterling,152,6,1,0,0
Kasey McAteer,265,8,9,0,5
Ryan Trevitt,9,1,1,0,0
Nathan Broadhead,35,2,2,0,0
Edmond-Paris Maghoma,27,2,0,1,0
Wataru Endo,35,6,3,1,1
Leon Bailey,736,14,3,2,6
Nélson Semedo,1051,12,28,6,44
Carlos Soler,551,12,6,2,5
Tommy Doyle,293,11,4,2,5
Simon Adingra,347,10,9,4,1
Wilson Odobert,162,3,5,0,1
Jens Cajuste,474,9,9,3,5
Fabio Carvalho,401,14,13,3,2
Roméo Lavia,481,9,15,11,5
Will Smallbone,241,4,7,0,2
Jorginho,372,7,7,5,1
Cheick Doucouré,243,7,7,6,3
Sammie Szmodics,753,14,12,4,8
Boubacar Kamara,256,6,6,5,5
Emiliano Buendía,72,7,3,0,0
Oliver Skipp,544,9,6,6,8
Kalvin Phillips,541,7,14,7,11
Mykhaylo Mudryk,158,7,2,0,1
James Ward-Prowse,404,7,5,5,5
Jeffrey Schlupp,108,10,2,0,1
Jean-Ricner Bellegarde,666,13,8,6,7
Bobby Decordova-Reid,255,10,3,0,4
Omari Hutchinson,1226,14,17,6,5
Chiquinho,12,1,0,0,0
Harvey Elliott,14,2,1,0,0
Luis Guilherme,21,2,0,0,0
Massimo Luongo,155,5,5,2,2
Daniel Podence,46,2,0,0,0
Wes Burns,575,12,7,5,5
Renato Veiga,184,7,9,1,2
Rodrigo Gomes,279,9,8,1,3
Harrison Reed,89,8,5,1,2
Jack Harrison,673,13,11,4,11
Chiedozie Ogbene,240,5,7,1,3
Boubakary Soumaré,478,9,12,3,5
Tim Iroegbunam,382,6,18,8,4
Mads Roerslev,472,11,6,2,14
Mats Wieffer,409,11,18,5,11
Lamare Bogarde,214,3,8,1,3
Mason Mount,237,7,6,0,0
Jaden Philogene-Bidace,329,11,11,3,1
Jakub Moder,19,2,0,0,2
Lesley Ugochukwu,209,6,5,2,1
Kiernan Dewsbury-Hall,68,5,0,1,2
Myles Lewis-Skelly,22,2,1,0,1
Frank Onyeka,28,2,0,0,0
Marcus Harness,43,2,1,0,1
Samuel Amo-Ameyaw,26,2,1,0,0
Scott McTominay,22,2,0,0,1
Danilo,15,1,0,0,0
Ryan Sessegnon,12,1,0,1,1
Ryan Fraser,304,7,6,1,8
Yunus Konak,26,4,1,0,0
James McAtee,2,2,0,0,0
Harrison Armstrong,2,2,0,0,0
